Combined districts,,"200,880","368,387","380,985","482,508","483,986"
,,,,,,
Massachusetts,,,,,,
All districts,,"971,909","968,661","962,958","958,910","957,053"
Non-charter districts,,"949,951","945,161","937,922","932,526","929,660"
Charter districts,,"21,958","23,500","25,036","26,384","27,393"
Combined districts,,,,,,
,,,,,,
Michigan,,,,,,
All districts,,"1,742,025","1,714,709","1,692,716","1,659,921","1,636,061"
Non-charter districts,,"1,650,370","1,616,120","1,592,112","1,555,707","1,523,872"
Charter districts,,"91,655","98,589","100,604","104,214","112,189"
Combined districts,,,,,,
,,,,,,
Minnesota,,,,,,
All districts,,"839,242","840,565","837,578","836,048","837,053"
Non-charter districts,,"818,639","816,864","809,617","804,494","801,763"
Charter districts,,"20,603","23,701","27,961","31,554","35,290"
Combined districts,,,,,,
,,,,,,
Mississippi,,,,,,
All districts,,"494,954","495,026","494,122","491,962","492,481"
Non-charter districts,,"491,297","491,430","490,596","488,439","488,942"
Charter districts,,,,,,
Combined districts,,"3,657","3,596","3,526","3,523","3,539"
,,,,,,
Missouri,,,,,,
All districts,,"917,905","920,353","917,188","917,871","917,849"
Non-charter districts,,"917,905","914,237","902,311","900,706","899,434"
Charter districts,,,"6,116","14,877","17,165","18,415"
Combined districts,,,,,,
,,,,,,
Montana,,,,,,
All districts,,"145,416","144,418","142,823","141,899","141,807"
Non-charter districts,,"145,416","144,418","142,823","141,899","141,807"
Charter districts,,,,,,
Combined districts,,,,,,
,,,,,,
Nebraska,,,,,,
All districts,,"286,646","287,580","291,244","292,590","295,368"
Non-charter districts,,"286,646","287,580","291,244","292,590","295,368"
Charter districts,,,,,,
Combined districts,,,,,,
,,,,,,
Nevada,,,,,,
All districts,,"413,253","423,184","429,362","433,371","428,947"
Non-charter districts,,"33,742","39,123","39,139","38,174","37,610"
Charter districts,,506,402,,"2,386",
Combined districts,,"379,005","383,659","390,223","392,811","391,337"
See notes at end of table.,,,,,,
Table 3,"Number of students receiving educational services, by state and district charter status: School years 2005–06 through 2009–10—Continued",,,,,
,,,,,,
State and district charter status,, Number of students ,,,,
,, 2005–06 , 2006–07 , 2007–08 , 2008–09 , 2009–10 
,,,,,,
New Hampshire,,,,,,
All districts,,"205,767","203,551","200,772","197,934","197,140"
Non-charter districts,,"199,624","203,227","200,294","197,934","197,131"
Charter districts,,131,324,478,0,9
Combined districts,,"6,012", , , , 
,,,,,,
New Jersey,,,,,,
All districts,,"1,395,052","1,388,548","1,380,169","1,381,420","1,392,992"
Non-charter districts,,"1,380,119","1,372,748","1,362,671","1,362,147","1,360,918"
Charter districts,,"14,933","15,800","17,498","19,273","21,733"
Combined districts,, , , , ,"10,341"
,,,,,,
New Mexico,,,,,,
All districts,,"326,761","328,220","329,459","330,245","334,419"
Non-charter districts,,"127,427","129,689","129,837","138,300","125,463"
Charter districts,, , , ,"1,106","2,586"
Combined districts,,"199,334","198,531","199,622","190,839","206,370"
,,,,,,
New York,,,,,,
All districts,,"2,816,167","2,809,649","2,765,435","2,740,805","2,766,052"
Non-charter districts,,"2,794,628","2,783,376","2,734,472","2,705,982","2,722,089"
Charter districts,,"21,539","26,273","30,963","34,823","43,963"
Combined districts,, , , , , 
,,,,,,
North Carolina,,,,,,
All districts,,"1,416,576","1,444,481","1,458,035","1,488,645","1,483,396"
Non-charter districts,,"1,389,135","1,416,028","1,425,428","1,452,139","1,444,409"
Charter districts,,"27,441","28,453","32,607","36,506","38,987"
Combined districts,, , , , , 
,,,,,,
North Dakota,,,,,,
All districts,,"98,283","96,670","95,052","94,728","95,073"
Non-charter districts,,"98,283","96,670","95,052","94,728","95,073"
Charter districts,, , , , , 
Combined districts,, , , , , 
,,,,,,
Ohio,,,,,,
All districts,,"1,839,683","1,836,096","1,827,184","1,817,163","1,764,297"
Non-charter districts,,"1,765,837","1,760,407","1,745,556","1,730,339","1,673,308"
Charter districts,,"68,573","75,689","81,628","86,824","90,989"
Combined districts,,"5,273", , , , 
,,,,,,
Oklahoma,,,,,,
All districts,,"634,784","639,391","642,065","645,108","654,802"
Non-charter districts,,"552,894","557,175","559,809","562,618","569,885"
Charter districts,, , , ,206,875
Combined districts,,"81,890","82,216","82,256","82,284","84,042"
,,,,,,
Oregon,,,,,,
All districts,,"536,944","562,574","565,586","563,295","561,470"
Non-charter districts,,"291,174","262,416","222,841","219,868","210,839"
Charter districts,,242,245,381,481,"1,290"
Combined districts,,"245,528","299,913","342,364","342,946","349,341"
,,,,,,
Pennsylvania,,,,,,
All districts,,"1,830,684","1,871,060","1,794,629","1,769,789","1,773,141"
Non-charter districts,,"1,775,054","1,811,067","1,727,354","1,696,738","1,693,974"
Charter districts,,"55,630","59,993","67,275","73,051","79,167"
Combined districts,, , , , , 
See notes at end of table.,,,,,,
Table 3,"Number of students receiving educational services, by state and district charter status: School years 2005–06 through 2009–10—Continued",,,,,
,,,,,,
State and district charter status,, Number of students ,,,,
,, 2005–06 , 2006–07 , 2007–08 , 2008–09 , 2009–10 
,,,,,,
Rhode Island,,,,,,
All districts,,"153,417","151,612","147,629","145,342","145,118"
Non-charter districts,,"115,245","113,693","110,679","108,901","108,166"
Charter districts,,"1,625","1,769","1,933","2,047","2,331"
Combined districts,,"36,547","36,150","35,017","34,394","34,621"
,,,,,,
South Carolina,,,,,,
All districts,,"701,544","703,119","712,319","718,113","723,143"
Non-charter districts,,"435,853","431,786","437,533","438,873","419,494"
Charter districts,, , , ,"2,446","6,245"
Combined districts,,"265,691","271,333","274,786","276,794","297,404"
,,,,,,
South Dakota,,,,,,
All districts,,"122,008","121,158","121,606","126,624","123,712"
Non-charter districts,,"122,008","121,158","121,606","126,624","123,712"
Charter districts,, , , , , 
Combined districts,, , , , , 
,,,,,,
Tennessee,,,,,,
All districts,,"953,796","978,368","964,259","971,950","972,549"
Non-charter districts,,"760,808","787,288","775,202","777,727","738,500"
Charter districts,, , , , , 
Combined districts,,"192,988","191,080","189,057","194,223","234,049"
,,,,,,
Texas,,,,,,
All districts,,"4,525,394","4,599,509","4,674,832","4,752,148","4,850,210"
Non-charter districts,,"4,454,490","3,986,774","3,966,253","4,022,495","4,094,109"
Charter districts,,"69,880","81,107","90,485","102,903","119,642"
Combined districts,,"1,024","531,628","618,094","626,750","636,459"
,,,,,,
Utah,,,,,,
All districts,,"508,248","523,586","576,244","559,778","582,793"
Non-charter districts,,"496,809","480,430","556,559","532,661","548,825"
Charter districts,,"11,439","18,842","19,685","27,117","33,968"
Combined districts,, ,"24,314", , , 
,,,,,,
Vermont,,,,,,
All districts,,"96,643","95,399","94,038","92,446","92,411"
Non-charter districts,,"96,643","95,399","94,038","92,446","92,411"
Charter districts,, , , , , 
Combined districts,, , , , , 
,,,,,,
Virginia,,,,,,
All districts,,"1,214,411","1,220,440","1,230,857","1,235,795","1,245,340"
Non-charter districts,,"1,166,013","1,172,770","1,182,899","1,188,281","1,175,019"
Charter districts,, , , , , 
Combined districts,,"48,398","47,670","47,958","47,514","70,321"
,,,,,,
Washington,,,,,,
All districts,,"1,031,985","1,026,774","1,030,247","1,037,018","1,035,347"
Non-charter districts,,"1,031,985","1,026,774","1,030,247","1,037,018","1,035,347"
Charter districts,, , , , , 
Combined districts,, , , , , 
,,,,,,
West Virginia,,,,,,
All districts,,"280,893","281,938","282,535","282,729","282,662"
Non-charter districts,,"280,893","281,938","282,535","282,729","282,662"
Charter districts,, , , , , 
Combined districts,, , , , , 
See notes at end of table.,,,,,,
Table 3,"Number of students receiving educational services, by state and district charter status: School years 2005–06 through 2009–10—Continued",,,,,
,,,,,,
State and district charter status,, Number of students ,,,,
,, 2005–06 , 2006–07 , 2007–08 , 2008–09 , 2009–10 
,,,,,,
Wisconsin,,,,,,
All districts,,"875,174","876,700","874,633","873,750","872,436"
Non-charter districts,,"472,890","466,002","436,783","461,097","454,306"
Charter districts,,"4,502","4,959","5,761","5,440","6,364"
Combined districts,,"397,782","405,739","432,089","407,213","411,766"
,,,,,,
Wyoming,,,,,,
All districts,,"86,420","85,193","86,422","87,161","88,152"
Non-charter districts,,"82,043","80,922","82,122","82,759","83,698"
Charter districts,, , , , , 
Combined districts,,"4,377","4,271","4,300","4,402","4,454"
 Not applicable.,,,,,,
"NOTE: ""Non-charter districts"" are districts where none of the associated schools are charter schools.  ""Charter districts"" are districts where all associated schools are charter schools.  ""Combined districts"" are districts in which there are both charter and non-charter schools.  District charter status for 2008–09 was derived using school-level data.  Schools with missing charter identification information were assumed to be non-charters for the purpose of this analysis.",,,,,,
"SOURCE: U.S. Department of Education, National Center for Education Statistics, Common Core of Data (CCD), , ""Local Education Agency Universe Survey,"" 2009–10, Version 1a; 2008–09, Version 1a; 2007–08, Version 1b; 2006–07, Version 1c; and 2005–06, Version 1a; and ""Public Elementary/Secondary School Universe Survey,"" 2008–09, Version 1b.",,,,,,
